Battery,Car_name,Efficiency,Fast_charge,Range,Top_speed,acceleration..0.100.,Price.USD
75,Tesla Model Y Long Range Dual Motor,172,670,435,217,5,"$64,328.53"
57.5,Tesla Model 3,137,700,420,201,6.1,"$50,379.80"
60.5,BYD ATTO 3,183,370,330,160,7.3,"$48,641.25"
61.7,MG MG4 Electric 64 kWh,171,630,360,160,7.9,"$43,589.10"
75,Tesla Model 3 Long Range Dual Motor,149,780,505,201,4.4,"$60,189.80"
57.5,Tesla Model Y,164,580,350,217,6.9,"$51,848.03"
71,BMW iX xDrive40,197,480,360,200,6.1,"$84,257.00"
64,Volvo EX30 Single Motor ER,173,550,370,180,5.3,"$45,551.10"
44,Citroen e-C3,176,320,250,135,11,"$25,397.00"
82.5,BYD SEAL 82.5 kWh AWD Excellence,170,530,485,180,3.8,"$58,498.12"
80.7,BMW i4 eDrive40,157,800,515,190,5.7,"$64,528.00"
60,Renault Megane E-Tech EV60 220hp,158,530,380,160,7.4,"$50,794.00"
64.7,BMW iX1 xDrive30,170,550,380,180,5.6,"$59,950.00"
64,Hyundai Kona Electric 64 kWh,164,370,390,167,7.9,"$46,761.00"
75,Tesla Model Y Performance,181,640,415,250,3.7,"$69,397.03"
64.8,Kia Niro EV,168,390,385,167,7.8,"$49,802.10"
100,Rolls-Royce Spectre,220,540,455,250,4.5,NA
95,Tesla Model S Plaid,170,780,560,282,2.1,"$120,957.30"
74,BMW iX3,192,520,385,180,6.8,"$73,357.00"
90,Hongqi E-HS9 99 kWh,243,430,370,200,4.9,NA
37.3,Fiat 500e Hatchback 42 kWh,159,390,235,150,9,"$38,139.10"
85.4,BYD HAN,180,450,475,180,3.9,"$77,177.45"
95,Tesla Model S Dual Motor,165,800,575,250,3.2,"$104,607.30"
60.5,BYD DOLPHIN 60.4 kWh,178,340,340,160,7,"$39,229.10"
58,CUPRA Born 150 kW - 58 kWh,166,470,350,160,7.3,"$42,913.30"
25,Dacia Spring Electric 45,152,180,165,125,19.1,"$24,579.50"
81.2,BMW i5 eDrive40 Sedan,171,710,475,193,6,"$76,518.00"
80.7,BMW i4 M50,179,700,450,225,3.9,"$77,172.00"
50.8,Opel Astra Electric,167,490,305,170,9.2,"$45,769.10"
68.3,MG ZS EV Long Range,185,420,370,175,8.4,"$41,409.10"
76.6,Audi Q4 e-tron 40,189,630,405,160,8.5,NA
101.7,BMW i7 xDrive60,199,760,510,240,4.7,"$152,491.00"
64,Toyota bZ4X FWD,188,510,340,160,7.5,"$51,764.10"
49,Volvo EX30 Single Motor,175,430,280,180,5.7,"$39,883.10"
62,Smart #1,185,520,335,180,6.7,"$46,314.10"
74,Kia EV6 Long Range 2WD,180,1070,410,185,7.3,"$56,669.10"
77,Volkswagen ID.7 Pro,162,710,475,180,6.5,"$62,124.55"
105.2,BMW iX xDrive50,208,680,505,200,4.6,"$109,109.00"
106,Audi Q8 e-tron 55 quattro,210,640,505,200,5.6,"$92,977.00"
50.8,MG MG4 Electric 51 kWh,169,390,300,160,7.7,"$38,139.10"
73,Peugeot e-3008 73 kWh,183,460,400,180,7,NA
82.5,BYD SEAL 82.5 kWh RWD Design,165,550,500,180,5.9,"$51,860.02"
77,Skoda Enyaq 85,169,680,455,180,6.7,"$53,301.00"
65.4,Hyundai Kona Electric 65 kWh,168,400,390,170,8.8,"$51,437.10"
58,Volkswagen ID.3 Pro,166,450,350,160,7.3,"$43,594.55"
52,Renault Zoe ZE50 R110,165,230,315,135,11.4,"$40,155.60"
96,Kia EV9 99.8 kWh AWD,226,740,425,200,6,"$83,374.10"
46.3,Peugeot e-208,162,460,285,150,8.1,"$42,619.00"
85,Audi e-tron GT RS,210,1000,405,250,3.3,"$159,194.50"
21.3,Renault Twingo Electric,158,NA,135,135,12.6,"$30,520.00"
77,CUPRA Born 170 kW - 77 kWh,171,630,450,160,7,"$50,630.50"
86.4,BYD TANG,240,330,360,180,4.6,"$77,826.00"
28.9,Mini Cooper SE,161,260,180,150,7.3,"$38,913.00"
67,BMW i4 eDrive35,156,580,430,190,6,"$61,585.00"
74,Hyundai IONIQ 6 Long Range AWD,168,1150,440,185,5.1,"$66,599.00"
74,Kia EV6 GT,206,940,360,260,3.5,"$79,559.10"
74,Hyundai IONIQ 6 Long Range 2WD,149,1290,495,185,7.4,"$58,860.00"
50.8,Jeep Avenger Electric,164,500,310,150,9,"$40,330.00"
87,Nissan Ariya 87kWh,193,540,450,160,7.6,"$64,299.10"
39,Nissan Leaf,166,230,235,144,7.9,"$36,406.00"
77,Volkswagen ID. Buzz Pro,223,480,345,145,10.2,"$70,393.29"
70.5,Mercedes EQA 250+,168,580,420,160,8.6,NA
77,Volkswagen ID.4 Pro,177,650,435,180,6.7,"$50,505.15"
46.3,Opel Corsa-e,157,470,295,150,8.1,NA
94,Zeekr 001 Performance AWD,186,700,505,200,3.8,"$69,727.30"
46.3,Citroen e-C4,160,460,290,150,9.7,"$39,283.60"
94,Polestar 4 Long Range Dual Motor,202,690,465,200,3.8,NA
118,Lucid Air Dream Edition R,172,870,685,270,2.9,"$237,620.00"
74.4,MG MG4 Electric 77 kWh,175,430,425,180,6.5,"$50,129.10"
98,Peugeot e-3008 98 kWh Long Range,188,680,520,180,7,NA
80,Hyundai IONIQ 5 N,208,950,385,260,3.4,NA
74,Hyundai IONIQ 5 Long Range 2WD,190,1020,390,185,7.3,"$52,211.00"
57.5,Tesla Model Y,164,810,350,217,6.9,"$51,848.03"
61.9,Honda e:Ny1,185,300,335,160,7.6,"$51,873.10"
44.9,BYD DOLPHIN 44.9 kWh Active,176,260,255,150,10,"$32,689.10"
109,Lotus Eletre,220,1040,495,250,4.5,"$104,629.10"
79,Polestar 2 Long Range Single Motor,168,700,470,205,6.2,"$59,377.75"
64,Volvo EX30 Twin Motor Performance,178,540,360,180,3.6,"$52,854.10"
64.7,BMW iX1 eDrive20,166,560,390,170,8.3,"$52,211.00"
54,Hyundai IONIQ 6 Standard Range 2WD,148,900,365,185,8.8,"$47,851.00"
86,Volkswagen ID.7 Pro S,165,800,520,180,7,NA
46.3,Opel Mokka-e,178,420,260,150,9.2,"$44,308.50"
66.5,Mercedes EQB 350 4MATIC,196,490,340,160,6.2,NA
61.7,MG MG4 Electric XPOWER,193,560,320,200,3.8,"$51,219.10"
62,Smart #1 Brabus,197,490,315,180,3.9,"$53,399.10"
64,Subaru Solterra AWD,200,480,320,160,6.9,"$62,664.10"
108.4,Mercedes EQS 450+,171,950,635,210,6.1,"$119,410.59"
106.5,Fisker Ocean One,201,630,530,205,3.9,"$76,245.50"
79,Volvo XC40 Recharge Single Motor ER,195,600,405,180,7.3,"$57,770.00"
94,Zeekr 001 Long Range RWD,177,740,530,200,7.2,"$66,457.30"
77,Skoda Enyaq Coupe 85,159,720,485,180,6.7,"$55,753.50"
81.2,BMW i5 M60 xDrive Sedan,191,630,425,230,3.8,"$108,455.00"
85,Audi e-tron GT quattro,202,1030,420,245,4.1,"$115,594.50"
74,Kia EV6 Long Range AWD,185,1050,400,185,5.2,"$61,018.20"
57.4,MG MG5 Electric Long Range,171,330,335,185,7.7,"$41,954.10"
30,Mazda MX-30,176,210,170,140,9.7,"$39,229.10"
94,Polestar 4 Long Range Single Motor,190,740,495,180,7.4,NA
84,Maxus MIFA 9,230,330,365,180,9.2,"$75,199.10"
39.2,Hyundai Kona Electric 39 kWh,160,210,245,155,9.9,"$39,676.00"
106.5,Fisker Ocean Ultra,199,640,535,200,4.2,"$62,130.00"
52,Renault Zoe ZE50 R135,168,230,310,140,9.5,"$41,245.60"
96,Kia EV9 99.8 kWh RWD,213,780,450,185,9.4,"$79,014.10"
64,Lexus RZ 450e,200,480,320,160,5.6,"$74,120.00"
95,Tesla Model X Dual Motor,200,660,475,250,3.9,"$110,057.30"
70.5,Mercedes EQB 250+,170,560,415,160,8.9,"$58,330.26"
74,Hyundai IONIQ 5 Long Range AWD,192,1010,385,185,5.1,"$64,528.00"
50.8,Peugeot e-308,169,450,300,170,9.8,"$48,793.85"
95,Tesla Model X Plaid,209,630,455,262,2.6,"$126,407.30"
79,Volvo XC40 Recharge Twin Motor,203,580,390,180,4.8,"$65,345.50"
54,Hyundai IONIQ 5 Standard Range 2WD,183,720,295,185,8.5,"$47,851.00"
77,Volkswagen ID.5 Pro,169,680,455,180,6.7,"$53,377.30"
66.5,Mercedes EQB 300 4MATIC,196,490,340,160,8,NA
106,Audi Q8 e-tron Sportback 55 quattro,202,660,525,200,5.6,"$95,429.50"
64.7,BMW iX2 xDrive30,170,550,380,180,5.6,"$61,585.00"
77,Audi Q4 e-tron 45,183,630,420,180,6.7,"$57,715.50"
64,Zeekr X Privilege AWD,183,520,350,180,3.8,"$55,012.30"
105.2,BMW iX M60,217,650,485,250,3.8,"$148,349.00"
50.8,Fiat 600e,167,490,305,150,9,"$39,774.10"
62,Smart #3,175,550,355,180,6.7,"$47,404.10"
70,MG Marvel R,192,400,365,200,7.9,"$51,219.10"
59,Nissan Leaf e+,174,240,340,157,6.9,"$44,799.00"
79,Polestar 2 Long Range Dual Motor,176,670,450,205,4.5,"$64,064.75"
25,Dacia Spring Electric 65 Extreme,156,170,160,125,13.7,"$26,759.50"
90.6,Mercedes EQE 350+,171,790,530,210,6.4,NA
77,Volkswagen ID.3 Pro S - 4 Seats,169,680,455,160,7.9,"$51,878.55"
108.4,Mercedes EQS SUV 580 4MATIC,224,720,485,210,4.6,"$147,623.06"
